id,first_name,last_name,ssn,date_of_birth,address,city,state,zip,mobile_phone,home_phone,email
1,Harrie,Emloch,740-14-2987,3/2/1994,9008 Reindahl Crossing,Waterbury,CT,06721,203-558-0337,610-840-3131,hemloch0@merriam-webster.com
2,Dyane,Shutle,208-48-9375,8/1/1987,46 Farragut Street,Honolulu,HI,96820,808-949-7726,540-839-3064,dshutle1@nps.gov
3,Geoffrey,Goundrill,311-42-6489,11/2/1972,83 Novick Center,Washington,DC,20530,202-413-2257,240-593-5247,ggoundrill2@unesco.org
4,Natalina,Ruperti,642-69-7094,8/9/1989,01 Troy Trail,Charleston,WV,25362,304-428-3135,970-855-8721,nruperti3@cargocollective.com
5,Viole,Barford,392-93-3256,6/6/1979,6 Anhalt Drive,Chicago,IL,60641,312-765-0548,,vbarford4@etsy.com
6,Moishe,Cropp,236-39-5462,1/18/1979,39182 Menomonie Point,Laredo,TX,78044,956-271-8982,281-976-1656,mcropp5@gizmodo.com
7,Kass,Kitteridge,223-51-4986,5/6/1975,981 Roxbury Terrace,Northridge,CA,91328,818-333-6343,941-179-2027,kkitteridge6@gizmodo.com
8,Ric,Lovie,654-97-9976,11/14/1983,28 Atwood Point,Salt Lake City,UT,84145,801-837-0159,240-534-5035,rlovie7@youtube.com
9,Linet,Canete,799-51-8187,12/7/1987,54 American Point,New York City,NY,10009,917-869-0899,,lcanete8@4shared.com
10,Charmine,Vanni,590-67-6390,1/16/1994,3273 Arkansas Hill,Santa Monica,CA,90410,310-718-8923,570-419-8343,cvanni9@myspace.com
11,Edna,Petrasch,213-98-3770,12/7/1983,1 Fieldstone Street,Syracuse,NY,13217,315-420-2542,,epetrascha@mlb.com
12abc,Richie,Torrie,445-12-1091,11/12/1970,9 Ryan Parkway,Las Vegas,NV,89140,702-350-2257,,rtorrieb@rediff.com
13,Quinn,Eyers,888-58-8649,7/2/1983,362 Portage Lane,Colorado Springs,CO,80935,719-383-1359,480-374-7452,qeyersc@nyu.edu
14,Oralle,Onele,163-20-5255,7/20/1983,221 Dwight Circle,Amarillo,TX,79188,806-777-9002,201-941-2460,ooneled@adobe.com
15,Nichole,Fishpool,526-48-0871,7/6/1981,920 Sauthoff Avenue,Indianapolis,IN,46266,317-952-8098,518-461-2379,nfishpoole@gizmodo.com
16,Cahra,Gayne,333-81-6721,1/28/1984,1 Ilene Pass,Tucson,AZ,85720,520-934-1216,,cgaynef@weibo.com
17,Marietta,Plaskett,105-1-2913,7/26/1993,7 Vahlen Crossing,Amarillo,TX,79182,806-371-7073,301-517-9268,mplaskettg@cocolog-nifty.com
18,Cristina,Sacase,698-22-7609,6/23/1978,8 Debra Center,Phoenix,AZ,85025,928-349-4586,,csacaseh@cafepress.com
